Film,Number,Name,Cause of Death,Killer,On-Screen Death?,Notes
Friday the 13th (1980),1,Barry,Stomach stabbed with a hunting knife,Pamela Voorhees,Yes,
Friday the 13th (1980),2,Claudette,Neck stabbed with a hunting knife,Pamela Voorhees,No,
Friday the 13th (1980),3,Annie Phillips [1],Throat slashed with a hunting knife,Pamela Voorhees,Yes,
Friday the 13th (1980),4,Ned Rubenstein,Throat slashed with a hunting knife,Pamela Voorhees,No,
Friday the 13th (1980),5,Jack Marand,Neck impaled with an arrow,Pamela Voorhees,Yes,
Friday the 13th (1980),6,Marcie Stanler,Face struck with an axe,Pamela Voorhees,Yes,
Friday the 13th (1980),7,Steve Christy,Chest stabbed with a hunting knife,Pamela Voorhees,Yes,
Friday the 13th (1980),8,Bill,"Throat slashed with a hunting knife, impaled through multiple places with arrows",Pamela Voorhees,No,
Friday the 13th (1980),9,Brenda,Unknown,Pamela Voorhees,No,
Friday the 13th (1980),10,Pamela Voorhees,Decapitated with a machete,Alice L. [2]Hardy [3],Yes,
Friday the 13th Part 2 (1981),1,Alice L. Hardy,Head stabbed with an icepick,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),2,Ralph,Strangled with barbed wire,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),3,Deputy Winslow [4],Head stabbed with a hammer claw,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),4,Scott,Throat slashed with a machete,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),5,Mark,Face struck with a machete,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),6,Jeff,Back impaled with a spear,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),7,Sandra Dier,Chest impaled with a spear,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),8,Vickie,Repeatedly stabbed with a knife,Jason Voorhees,Yes,
Friday the 13th Part 2 (1981),9,Terry,Unknown,Jason Voorhees,No,
Friday the 13th Part 2 (1981),10,Paul Holt,Unknown,Jason Voorhees,No,Debatable
Friday the 13th Part III (1982),1,Harold Hockett [2],Chest struck with a cleaver,Jason Voorhees,Yes,
Friday the 13th Part III (1982),2,Edna Hockett [2],Head stabbed with a knitting needle,Jason Voorhees,Yes,
Friday the 13th Part III (1982),3,Fox,Throat impaled with a pitchfork,Jason Voorhees,No,
Friday the 13th Part III (1982),4,Loco,Stomach impaled with a pitchfork,Jason Voorhees,Yes,
Friday the 13th Part III (1982),5,Vera Sanchez,Eye shot with a speargun,Jason Voorhees,Yes,
Friday the 13th Part III (1982),6,Andy,Sliced in half with a machete,Jason Voorhees,Yes,
Friday the 13th Part III (1982),7,Debbie,Back impaled with a knife,Jason Voorhees,Yes,Pregnant
Friday the 13th Part III (1982),8,Shelly Finkelstein [2],Throat slashed with a machete,Jason Voorhees,Yes,
Friday the 13th Part III (1982),9,Chuck,Electrocuted by a fuse box,Jason Voorhees,Yes,
Friday the 13th Part III (1982),10,Chili,Stomach impaled with a hot fireplace poker,Jason Voorhees,Yes,
Friday the 13th Part III (1982),11,Rick,"Head crushed, eye popped out",Jason Voorhees,Yes,
Friday the 13th Part III (1982),12,Ali,"Bludgeoned with a wrench, hacked apart with a machete",Jason Voorhees,Yes,
Friday the 13th: The Final Chapter (1984),1,Coroner Axel,"Throat slashed with a hacksaw, neck broken",Jason Voorhees,Yes,
Friday the 13th: The Final Chapter (1984),2,Nurse Robbie Morgan [2],Disemboweled with a scalpel,Jason Voorhees,Yes,
Friday the 13th: The Final Chapter (1984),3,Hitchhiker,Neck impaled with a knife,Jason Voorhees,Yes,
Friday the 13th: The Final Chapter (1984),4,Samantha,Stomach impaled with a knife,Jason Voorhees,Yes,
Friday the 13th: The Final Chapter (1984),5,Paul,Groin stabbed with a speargun,Jason Voorhees,Yes,
